root_key,icon_file,concept_ja
ghans-,root-ghans.png,ガチョウ
ghrēi-,root-ghrei.png,こすり合わせる
gʷelə-3,root-gwele3.png,飲み込む
gʷhren-,root-gwhren.png,考える
karlaz,root-karlaz.png,男性
keg-,root-keg.png,かぎ・歯状物
krāu-,root-krau.png,隠す
kʷei-2,root-kwei2.png,積み上げる
me-1,root-me1.png,私
mer-1,root-mer1.png,瞬く
mē-1,root-me1-2.png,精神状態
mōd-,root-mod.png,会う
ner-1,root-ner1.png,下に
nogʷ-,root-nogw.png,裸
orbh-,root-orbh.png,身分を失う
paus-,root-paus.png,離脱
rē-,root-re-2.png,贈る
sep-,root-sep.png,味わう
smē-,root-sme.png,汚す
steg-1,root-steg1.png,棒
steip-,root-steip.png,支える
stelə-,root-stele.png,張る
sē-2,root-se2.png,遅い
twerk-,root-twerk.png,切る
wes-pero-,root-wespero.png,夕方
bhag-,root-bhag.png,分配する
gal-2,root-gal2.png,叫ぶ
nebh-,root-nebh.png,雲
gembh-,root-gembh.png,歯
ser-4,root-ser4.png,上
spē-2,root-spe2.png,板
-nt-,root-nt.png,
aik-1,root-aik1.png,所有する
al-2,root-al2.png,さまよう
bhars-1,root-bhars1.png,突起
busk-,root-busk.png,森
del(ə)-,root-dele.png,刻む
dl̥k-u-,root-dlku.png,甘い
ergh-,root-ergh.png,登る
erə-,root-ere.png,漕ぐ
ghais-,root-ghais.png,固着
hlaupan,root-hlaupan.png,跳躍
kei-2,root-kei2.png,色彩形容詞
kost-,root-kost.png,肋骨
mei-3,root-mei3.png,固定
mei-4,root-mei4.png,縛る
mel-2,root-mel2.png,暗い色の
melit-,root-melit.png,蜜
māk-,root-mak.png,長い
mēms-,root-mems.png,肉
nogh-,root-nogh.png,爪
reuə-,root-reue.png,開く・空間
skreu-,root-skreu.png,切具
snā-,root-sna.png,泳ぐ
strenk-,root-strenk.png,窮屈
treud-,root-treud.png,絞る
wegʷh-,root-wegwh.png,説教
weiə-,root-weie.png,追い求める
wet-1,root-wet1.png,吹く
yēr-,root-yer.png,年・季節
kerp-,root-kerp.png,集める
kreuə-1,root-kreue1.png,生の
bher-2,root-bher2.png,切る
swep-,root-swep.png,眠る
ghei-2,root-ghei2.png,冬
kakka-,root-kakka.png,排便する
bhugo-,root-bhugo.png,雄
ghaiso-,root-ghaiso.png,槍
mā-2,root-ma2.png,母
swer-2,root-swer2.png,囁く
ōr-,root-or.png,朗読
(s)kel-3,root-skel3.png,歪む
(s)kerb-,root-skerb.png,曲げる
angh-,root-angh.png,締めつける
bherdh-,root-bherdh.png,切断
bhāgo-,root-bhago.png,ブナの木
bursa,root-bursa.png,革
dhragh-,root-dhragh.png,引く
elaiā,root-elaia.png,オリーブ
erədh-,root-eredh.png,険しい
kau-,root-kau.png,打つ
kemb-,root-kemb.png,曲げる
kert-,root-kert.png,絡む
kerə-,root-kere.png,混ぜる
keu-2,root-keu2.png,曲がる
kāu-,root-kau-2.png,焦げる
lent-o-,root-lento.png,柔軟
lep-1,root-lep1.png,剥がれる
leudh-2,root-leudh2.png,成長
mendh-2,root-mendh2.png,噛む
nei-,root-nei.png,輝く
ni,root-ni.png,下へ
sai-3,root-sai3.png,濃液
smei-,root-smei.png,笑う
